Candidatos|Votos|Porcentaje
BADILLA  HERNANDEZ  ATRIX ARACELY| 2,914|  0.24
INOSTROZA  RUIZ  CARLOS ANTONIO| 2,870|  0.24
MORA  VILCHES  CAMILA VALENTINA| 2,859|  0.24
LLANOS  REYES  ESTEBAN| 2,849|  0.24
GAYOSO  TOLOZA  MARIA JOSE| 2,840|  0.24
DURAN  GONZALEZ  MIGUEL| 2,831|  0.24
UBILLA  SANTIBAÑEZ  PABLO ESTEBAN| 2,827|  0.24
MUÑOZ  VALLEJOS  XIMENA| 2,827|  0.24
ARANCIBIA  LABRAÑA  FELIPE DEMIAN| 2,824|  0.24
MOLINA  LEPILLAN  JUAN PABLO| 2,822|  0.24
SOUPER  MUÑIZ  ANDREA CAROLINA| 2,803|  0.24
JARPA  FERNANDEZ  CAMILA NISLETH| 2,739|  0.23
MORA  GONZALEZ  RODRIGO FELIPE| 2,732|  0.23
RIOS  LAVADO  MAURICIO RODRIGO| 2,696|  0.23
ENRIQUEZ  VILLALOBOS  MARISOL ANDREA| 2,674|  0.22
LEAL  SEPULVEDA  DIEGO ARNOLDO| 2,663|  0.22
RIVAS  ORTIZ  MIGUEL ANGEL| 2,658|  0.22
HORMAZABAL  NAVARRETE  ANA PAOLA| 2,649|  0.22
GUERRERO  RIFO  GABRIEL| 2,605|  0.22
PARDO  SANTOS  CLAUDIO IVAN| 2,575|  0.22
VENEGAS  CARRILLO  CRISTIAN| 2,570|  0.22
SOTO  BECERRA  HUGO ANTONIO| 2,565|  0.22
HERNANDEZ  CARIAGA  CATHERIN| 2,557|  0.21
HERRERA  FERNANDEZ  CRISTIAN| 2,541|  0.21
TAPIA  TELLO  FABIANA MILLARAY| 2,514|  0.21
ITURRA  JARA  ALEX PATRICIO| 2,495|  0.21
VILUGRON  TRONCOSO  CESAR| 2,489|  0.21
SILVA  BERMEDO  CRISTIAN BERNARDO| 2,484|  0.21
BURGOS  RIOS  JACQUELINE| 2,466|  0.21
MATAMALA  COFRE  SEBASTIAN| 2,445|  0.21
CARRILLO  JEREZ  MONICA ELISABET| 2,444|  0.2
PEZOA  REYES  MIGUEL| 2,421|  0.2
GODOY  SALGADO  ANGELICA| 2,420|  0.2
MATUS  SAAVEDRA  CLAUDIO ANDRES| 2,408|  0.2
ORDENES  RODRIGUEZ  JAVIER AMADO| 2,403|  0.2
AMENABAR  SEPULVEDA  LUCY| 2,397|  0.2
HENRIQUEZ  SILVA  CRISTIAN MAURICIO| 2,385|  0.2
ARIAS  NEIRA  MACARENA| 2,379|  0.2
BASTIAS  REYES  ANA| 2,367|  0.2
GONZALEZ  HIDALGO  MARIELLA ANDREA| 2,345|  0.2
GONZALEZ  SANCHEZ  FERNANDO| 2,343|  0.2
TORRES  YAÑEZ  MATIAS| 2,338|  0.2
BIZAMA  MUÑOZ  JOSE LUIS| 2,336|  0.2
ARRAU  GAMONAL  MONICA ANGELINA| 2,298|  0.19
GONZALEZ  LOPEZ  CATHERINE| 2,267|  0.19
ARROS  BIZAMA  ROSTBELL| 2,244|  0.19
FIGUEROA  CUEVAS  MARCO ANDRES| 2,217|  0.19
REYES  OPAZO  ELVIS| 2,199|  0.18
MARDONES  SANTANA  CAMILA LORETO| 2,197|  0.18
BLAS  MUÑOZ  PIERO ENRIQUE| 2,195|  0.18
AGUILERA  LAVIN  WALDEMAR ANTONIO| 2,178|  0.18
HENRIQUEZ  MORENO  CARMEN GLORIA| 2,091|  0.18
ALONZO  RAMOS  VIVIANA| 2,088|  0.18
FIGUEROA  VALDEBENITO  JAIME ENRIQUE| 2,075|  0.17
SAN MARTIN  CARRASCO  CRISTIAN| 2,068|  0.17
MICHAEL  PEÑA  DANIELA| 2,053|  0.17
SOTOMAYOR  OLATE  GUSTAVO FELIPE| 2,029|  0.17
ESCOBAR  QUEZADA  PAMELA| 2,026|  0.17
GARRETON  RAMIREZ  ANGELA NOEMI| 2,008|  0.17
PADILLA  SOTO-AGUILAR  DANIEL| 1,980|  0.17
