Candidatos|Votos|Porcentaje
MUÑOZ  YAÑEZ  BORIS CLAUDIO| 1,683|  0.29
ALARCON  PINTO  FRANCISCA NAOMI| 1,663|  0.29
BARRAZA  PLAZA  DIOLA| 1,635|  0.29
PIZARRO  VENENCIANO  MARIO| 1,625|  0.28
VELIZ  CORTES  KARINA ARACELLI| 1,614|  0.28
CALLEJAS  LOZANO  JUAN DIEGO| 1,609|  0.28
ALARCON  JERALDO  INGRID LUTECIA| 1,551|  0.27
MAUREIRA  SILVA  CARLOS| 1,536|  0.27
SAN MARTIN  PEREIRA  RICARDO FRANCISCO| 1,533|  0.27
URRUTIA  PLACENCIO  ALEXANDRA| 1,484|  0.26
DE LA JARA  BARTHOLOMAUS  JUAN LUIS| 1,366|  0.24
HIDALGO  PIZARRO  MONICA ALEJANDRA| 1,349|  0.24
GALLARDO  SILVA  MARCELO| 1,331|  0.23
BERRIOS  ROJAS  JEYSON ALEJANDRO| 1,311|  0.23
ROJO  AGUILERA  HUGO HERNAN| 1,277|  0.22
CUPRA  URBINA  ANGELO| 1,185|  0.21
ESPINOSA  GONZALEZ  MAURICIO| 1,185|  0.21
VIDELA  ARAYA  HOMERO HERNAN| 1,165|  0.2
GUTIERREZ  GUZMAN  RODRIGO ANDRES| 1,136|  0.2
JUICA  ARRIAGADA  LUIS DAVID| 1,124|  0.2
CARCAMO  KOVACIC  CECILIA| 1,123|  0.2
POLANCO  GOMEZ  EMMANUEL SEBASTIAN| 1,076|  0.19
PIZARRO  VERA  DYANA| 1,001|  0.18
PASTEN  CORTES  FRANCY VALENTINA| 946|  0.17
VASQUEZ  GONZALEZ  VICTOR MANUEL| 863|  0.15
CEPEDA  PINCHEIRA  MARISOL CARMEN| 860|  0.15
ARAYA  ARAYA  VICTOR ANGEL| 717|  0.13
RIVERA  TORREJON  GERALDY VICTORIA| 498|  0.09
COFRE  SAAVEDRA  INALDI ANTONIO| 465|  0.08
REYES  ROZAS  GUILLERMO ALEJANDRO| 462|  0.08
SANCHEZ  ACEVEDO  ROBERTO SEBASTIAN| 430|  0.08
Válidamente Emitidos| 414,804| 72.55
 Votos Nulos| 83,764| 14.65
 Votos Blanco| 73,177| 12.8
 Total| 571,745| 100.0
 
