Candidatos|Votos|Porcentaje
ROJAS  APABLAZA  JOSE CRISTIAN| 2,303|  0.27
LUCERO  TRIVIÑO  NATALIA| 2,268|  0.27
MARTINEZ  CHIRINO  ALEJANDRO ESTEBAN| 2,263|  0.27
MALDONADO  VALDES  ROMINA| 2,259|  0.27
GOMEZ  MUÑOZ  IVONNE MARIANELA| 2,204|  0.26
CONTRERAS  MORALES  HECTOR| 2,200|  0.26
PIZARRO  SILVA  NANCY DEL CARMEN| 2,152|  0.25
MUÑOZ  CANCINO  MACARENA ANDREA| 2,143|  0.25
ALIAGA  SOTO  FRANCISCO AGUSTIN| 2,076|  0.25
BRAVO  BRAVO  LORENA| 2,056|  0.24
PALMA  CERECERA  PABLO| 2,052|  0.24
REYES  ARAYA  DANIEL| 2,031|  0.24
SANCHEZ  DIAZ  PAULA ANGELICA| 1,999|  0.24
ALBORNOZ  JIMENEZ  LUZMIRA ELIZABETH| 1,985|  0.23
CALDERON  LETELIER  SEBASTIAN| 1,955|  0.23
RAMIREZ  VERDUGO  ALEJANDRA| 1,953|  0.23
GONZALEZ  OPAZO  LEANDRO ANTONIO| 1,929|  0.23
HERNANDEZ  ACUÑA  DANIEL| 1,886|  0.22
MUÑOZ  MUÑOZ  JUAN SEBASTIAN| 1,880|  0.22
AVENDAÑO  RAGGI  MATIAS SEBASTIAN| 1,866|  0.22
LECAROS  VILLARROEL  CYNTIA| 1,846|  0.22
SEPULVEDA  SOTO  MONICA| 1,840|  0.22
LANDEROS  GARRIDO  ALEJANDRA CAROLINA| 1,824|  0.22
GONZALEZ  RIVEROS  FRANCISCO| 1,793|  0.21
PINO  LOYOLA  CRISTIAN ANDRES| 1,757|  0.21
JORQUERA  LARA  JUAN| 1,753|  0.21
HERRERA  SEPULVEDA  SANDRA FABIOLA| 1,752|  0.21
ROMAN  SALAS  NICOLE EDIBETH| 1,741|  0.21
ABACA  GOMEZ  VALENTIN MATIAS| 1,679|  0.2
CAMPOS  ROJAS  BALDOBINO| 1,675|  0.2
VILLALOBOS  RETAMAL  BRIAN JHON| 1,674|  0.2
PEREZ  ARRIGORRIAGA  JORGE IVAN| 1,648|  0.19
MARTEL  CACERES  FERNANDO ISIDRO| 1,642|  0.19
ASTORGA  VERDUGO  MARCELA ANDREA| 1,618|  0.19
BELLENGER  HERMOSILLA  JESSICA REBECA| 1,601|  0.19
RODRIGUEZ  OLIVARES  JOSE| 1,594|  0.19
PEREZ  SAAVEDRA  MARISOL DEL CARMEN| 1,568|  0.19
MANRIQUEZ  DIAZ  RODRIGO| 1,557|  0.18
VALDES  ROJAS  LEONEL| 1,535|  0.18
POBLETE  OSES  FIDEL ESTEBAN| 1,499|  0.18
BENAVENTE  AVILA  CARLOS ESTEBAN| 1,473|  0.17
NUÑEZ  BINIMELIS  ANTONIO| 1,446|  0.17
ZUÑIGA  IBAÑEZ  ADELA ROSA DEL CARMEN| 1,439|  0.17
ORELLANA  RIQUELME  ANAIS SORAYA| 1,434|  0.17
VALDES  CARMONA  GUILLERMO| 1,403|  0.17
ALFARO  TORRES  JONATHAN| 1,374|  0.16
GARATE  SALAS  ALNAT NEFI| 1,369|  0.16
SAROVIC  URZUA  PATRICIO MIGUEL| 1,366|  0.16
MONSALVE  RAMIREZ  ROBERTO| 1,361|  0.16
SILVA  GARCIA  DANIELLA| 1,330|  0.16
AHUMADA  MACHUCA  NATALIA ISABEL| 1,327|  0.16
ROMERO  VALDES  JUAN PABLO| 1,296|  0.15
VALDERRAMA  VALDERRAMA  JOHN| 1,285|  0.15
VILLALOBOS  URRUTIA  LUIS FERNANDO| 1,266|  0.15
PUGA  TAPIA  CRISTINA| 1,210|  0.14
ALVARADO  VALDES  JAVIER ESTEBAN| 1,173|  0.14
ARAVENA  CORTES  IRENE| 1,163|  0.14
VARGAS  DIAZ  ALBERTO| 1,124|  0.13
BRAVO  SANTELICES  ERNESTO| 1,099|  0.13
SCHMOLZ  LIZANA  PATRICIO RODRIGO| 1,095|  0.13
CASTRO  CASTRO  DALTON BORIS| 1,072|  0.13
FUENZALIDA  TORRES  ROSA| 923|  0.11
ESPINOSA  PEREIRA  HECTOR JUAN| 918|  0.11
JORQUERA  LOPEZ  JUAN GABRIEL| 910|  0.11
CESPEDES  CESPEDES  LEONARDO ALBERTO| 875|  0.1
JORQUERA  FLORES  ERIKA CECILIA| 874|  0.1
CERNA  FUENTES  MARCELA LORENA| 868|  0.1
ALVAREZ  ALVAREZ  JENNIFER YOLANDA| 865|  0.1
ROJAS  GONZALEZ  MARIA ANTONIETA| 859|  0.1
RODRIGUEZ  AREVALO  EDUARDO ESTEBAN| 765|  0.09
BRAVO  ESPINOSA  ALBERTO| 711|  0.08
BARRERA  CESAREO  YAZNA MARIA| 697|  0.08
DAMORE  CONTRERAS  CONSUELO NICOLE| 669|  0.08
ROZAS-PEÑA  PEÑA  ARTURO EUGENIO| 660|  0.08
URIBE  GHIGLIOTTO  JORGE| 647|  0.08
CHAVEZ  MARTINEZ  LUCAS TOMAS IGNACIO| 408|  0.05
Válidamente Emitidos| 636,787| 75.24
 Votos Nulos| 113,770| 13.44
 Votos Blanco| 95,781| 11.32
 Total| 846,338| 100.0
 
