Candidatos|Votos|Porcentaje
PULGAR  ALCANTAR  LUIS ALFREDO| 4,086|  0.29
GONZALEZ  ROJAS  EDSSON MESALA| 3,950|  0.28
DELGADO  HIDALGO  BLANCA| 3,895|  0.27
ESPINOZA  DARRICADES  PATRICIO ORLANDO| 3,884|  0.27
GUERRERO  HENRIQUEZ  MANUEL EUGENIO| 3,853|  0.27
DELGADO  ZAMORA  MARIA BRISA| 3,746|  0.26
MORENO  ALVAREZ  JORGE| 3,741|  0.26
VEGAS  BERNAL  CARLOS ENRIQUE| 3,691|  0.26
VUSKOVIC  VILLANUEVA  IVAN SERGIO| 3,605|  0.25
FERNANDEZ  CASTRO  JAVIER| 3,589|  0.25
LOPEZ  PINO  JORGE LUIS| 3,562|  0.25
VASQUEZ  OLIVARES  ROMY| 3,561|  0.25
AMESTICA  ABURTO  ROMINA| 3,511|  0.25
TORREJON  DURAN  MARCO| 3,434|  0.24
RIVEROS  MARTINEZ  REINALDO ARIS| 3,420|  0.24
COLLAO  COLLAO  GIOCONDA| 3,403|  0.24
LAUREL  ARZA  RICARDO| 3,394|  0.24
CATALAN  GONZALEZ  ANA GLADYS| 3,244|  0.23
PEREZ  VILLABLANCA  PAULO| 3,202|  0.22
CASTRO  MUÑOZ  LEONOR| 3,187|  0.22
GODOY  ANDERSON  CRISTIAN| 3,139|  0.22
ZAVALA  PRADO  GRACIELA VERONICA| 3,133|  0.22
CASTRO  ARAGON  SABINA ANGELICA| 3,132|  0.22
ESTAY  OLGUIN  JORGE RAUL| 3,072|  0.22
JADUE  ZEDAN  RICARDO| 3,070|  0.22
FARIAS  GONZALEZ  MARJORIE DIGNA| 3,037|  0.21
BARAHONA  CONTRERAS  ESTEBAN HERNAN| 2,978|  0.21
GALLARDO  FERNANDEZ  LUIS FELIPE| 2,953|  0.21
GATICA  POLANCO  LUIS ALBERTO| 2,945|  0.21
TOBAR  LEIVA  MANUEL ARMANDO| 2,911|  0.2
SAN MARTIN  CACERES  ROBERTO MARIO| 2,813|  0.2
LARA  IBAÑEZ  DENISSE| 2,813|  0.2
VILLALTA  ATLAGIC  JUAN CARLOS| 2,812|  0.2
BRIONES  BELMAR  JUAN PABLO| 2,809|  0.2
SILVA  BECERRA  JOSE MIGUEL| 2,799|  0.2
CATRICHEO  MUÑOZ  DANITZA VALESKA| 2,766|  0.19
AROSTICA  GONZALEZ  GRISEL BERTA| 2,749|  0.19
VERA  AROS  JOHN AVELINO| 2,720|  0.19
WITTIG  BARRETO  HEINRICH KASPER| 2,700|  0.19
SEPULVEDA  ULLOA  SEBASTIAN| 2,677|  0.19
MOUKARZEL  POBLETE  MARIANELLA| 2,655|  0.19
QUEZADA  RIOSECO  CELSO ABDIEL| 2,652|  0.19
CIFUENTES  DONOSO  MANUEL ANTONIO| 2,648|  0.19
CERDA  MEZA  KENIN HERNAN| 2,647|  0.19
YEVENES  AHUMADA  ALICIA PURISIMA ELOISA| 2,637|  0.18
MOLINA  CEPEDA  JAVIER| 2,539|  0.18
CONTRERAS  BIANCHI  ROLANDO| 2,500|  0.18
POBLETE  TRIGO  LUIS GUSTAVO| 2,494|  0.17
GUZMAN  MANRIQUEZ  RUTH| 2,492|  0.17
CRISTOFFANINI  JARAQUEMADA  NICOLAS| 2,472|  0.17
TOBAR  VALDIVIA  JUAN LUIS| 2,451|  0.17
NUÑEZ  BARRUEL  JOSE PEDRO| 2,434|  0.17
GORTARI  ROMERO  JORGE| 2,429|  0.17
PEREZ  PEÑA  ANGELICA SOLEDAD| 2,413|  0.17
ALARCON  ITURRIETA  SERGIO VLADIMIR| 2,405|  0.17
GOMEZ  FUENTES  GUILLERMO IGNACIO| 2,392|  0.17
DIAZ  SANTANA  YENNY CARMEN| 2,362|  0.17
ESPINOZA  SILVA  MARCELA| 2,362|  0.17
CAUCOTA  ARANCIBIA  CARLOS ALEXIS| 2,347|  0.16
ZAMORA  BRAVO  CARMEN| 2,310|  0.16
MARTINEZ  PAVEZ  IVAN| 2,302|  0.16
QUIROZ  SAA  DANIELA PAZ| 2,285|  0.16
DIAZ  GATICA  JORGE ANDRES| 2,283|  0.16
URBINA  MUÑOZ  EDUARDO| 2,261|  0.16
BAEZA  LUCO  ANDREHA| 2,253|  0.16
ORTUZAR  HURTADO  MATILDE| 2,231|  0.16
FERNANDEZ  PIZARRO  MARIA SOLEDAD| 2,179|  0.15
VALDES  PINTO  VICTOR| 2,173|  0.15
VILLALOBOS  GOMEZ  GABRIEL ANTONIO| 2,145|  0.15
SANTANDER  ACEVEDO  PABLO| 2,144|  0.15
RAMELLI  MORALES  ALFREDO GONZALO| 2,141|  0.15
COTRONEO  PRIDA  FRANCESCA PAOLA| 2,086|  0.15
MOLINAS  ALVAREZ  ADRIAN MAURICIO| 2,081|  0.15
SANHUEZA  BERETTA  NIBALDO RENZO| 2,063|  0.14
URIBE  TORO  OLGA| 2,043|  0.14
CONTADOR  CORTES  ESTEBAN| 2,035|  0.14
DE LA HOZ  TAPIA  TERESA ANGELICA| 2,014|  0.14
FERNANDEZ  ZAMORA  JAVIER FELIPE| 1,990|  0.14
SILVA  VARGAS  LEONARDO| 1,973|  0.14
LOPEZ  CANCINO  CAROLINA GRACIELA| 1,954|  0.14
POLONSKY  ROBLERO  KATYHUSKA| 1,825|  0.13
SANCHEZ  CRUZ  ANDRES| 1,820|  0.13
PALACIOS  TOROMORENO  MABEL| 1,799|  0.13
GODOY  DIAZ  VICTOR IVAN| 1,786|  0.13
PONCE  SALGADO  MARTA ELENA| 1,778|  0.12
GONZALEZ  VERGARA  HERNAN GUILLERMO| 1,762|  0.12
URRUTIA  YAÑEZ  ELIANA ANGELICA| 1,737|  0.12
VEGA  TORO  ESTEBAN ANDRES| 1,732|  0.12
FERNANDEZ  MORALES  LESLIE| 1,723|  0.12
DURAN  OLIVA  PEDRO RENE| 1,715|  0.12
BRAVO  OLIVA  JAIME| 1,687|  0.12
BAEZA  HERMOSILLA  MARIA GENOVEVA| 1,652|  0.12
AGUAYO  STEFONI  CECILIA ROSALBA| 1,630|  0.11
FIGUEROA  CID  BEATRIZ| 1,591|  0.11
OSORIO  PEREIRA  LUIS EMILIO| 1,577|  0.11
MELLADO  ARIAS  ANDRES| 1,498|  0.11
GODOY  ARANCIBIA  DANIEL| 1,467|  0.1
DUQUE  DIAZ  MARCO| 1,463|  0.1
JADUE  MI  MARIA JOSE| 1,419|  0.1
ARACENA  SUAREZ  PABLO MAURICIO| 1,415|  0.1
GUERRERO  HENRIQUEZ  JUAN DE DIOS| 1,385|  0.1
TUKI  PONT  SABRINA| 1,371|  0.1
ARTEAGA  FUENTES  IVAN MARCELO| 1,301|  0.09
CASTILLO  VERA  JOAQUIN| 1,286|  0.09
LOPEZ  ERAZO  RICARDO| 1,251|  0.09
AGUIRRE  VALENCIA  RUTH| 1,237|  0.09
OLAVE  MONTENEGRO  WLADIMIR LIONEL| 1,227|  0.09
ESTAY  MENDEZ  PATRICIO| 1,127|  0.08
ABOAL  MADRIAGA  JOSE| 1,113|  0.08
HERRERA  HERNANDEZ  XIMENA KARINSKA| 1,112|  0.08
CABALLERO  ESPINOZA  GISSELA CONSTANZA| 1,086|  0.08
LEMAITRE  PALMA  MAXIMIANO JOSE| 1,070|  0.08
GALLARDO  VERA  CESAR ANTONIO| 1,005|  0.07
BRAVO  HERNANDEZ  JAIME ANDRES| 966|  0.07
MUÑOZ  GUTIERREZ  MIGNOL| 921|  0.06
MANRIQUEZ  MENDOZA  ERNESTO| 894|  0.06
HAOA  HOTUS  FRANCISCO| 870|  0.06
ASTUDILLO  ROJAS  GERARDO INGMAR| 861|  0.06
