Candidatos|Votos|Porcentaje
MADARIAGA  MORENO  LEONEL ANTONIO| 504|  0.24
HERNANDEZ  BURGOS  PATRICIA JOANNA| 497|  0.24
HIDALGO  GOMEZ  ALEJANDRA| 495|  0.24
AZOLA  BARRIOS  FRANK HERVERT| 492|  0.24
GUZMAN  PALMA  NILSA ELCIRA| 488|  0.24
QUIROGA  ACUÑA  MARCO AURELIO| 481|  0.23
GONZALEZ  GORDILLO  MARCELA ALEJANDRA| 473|  0.23
IRIBARREN  PEREZ  CLAUDIO ALEJANDRO| 470|  0.23
OSSANDON  ROJAS  CLAUDIO| 462|  0.22
FUENTES  CASTILLO  HECTOR| 454|  0.22
MARIVIL  MORENO  ROLANDO| 382|  0.18
SEPULVEDA  LETEY  CLAUDIO RODRIGO| 366|  0.18
ARAYA  LEPE  TOMAS MATIAS ANDRES| 350|  0.17
ESPINOZA  YAÑEZ  LUCAS| 332|  0.16
HERRERA  ARANCIBIA  ALEJANDRO| 328|  0.16
CORTES  PIZARRO  IRENE ISABEL DE LOURDES| 304|  0.15
ARAYA  BUGUEÑO  WALTER ALBERTO| 303|  0.15
ECHEVERRIA  ECHEVERRIA  CESAR ANTONIO| 292|  0.14
CASTRO  JERONIMO  MARCELO ALEJANDRO| 282|  0.14
CARES  RIVERA  RODOLFO EMILIANO| 264|  0.13
LEON  VEGA  VICTOR DAVID| 258|  0.12
NARANJO  DURAN  PEDRO FRANCISCO| 213|  0.1
MIRANDA  CORREA  GENNARO ELEAZAR| 211|  0.1
CEPEDA  CASTRO  DALVA DE LOS ANGELES| 152|  0.07
GONZALEZ  LUTZ  CESAR AARON| 136|  0.07
HERNANDEZ  PIZARRO  DINA PRISCILLA| 105|  0.05
Válidamente Emitidos| 159,133| 76.74
 Votos Nulos| 26,556| 12.81
 Votos Blanco| 21,674| 10.45
 Total| 207,363| 100.0
 
