Candidatos|Votos|Porcentaje
SOTO  MALDONADO  RODRIGO| 554|  0.27
PEREZ  ORIAS  EDSON JAVIER JOAO| 551|  0.26
GONZALEZ  GAMBOA  JORGE| 550|  0.26
QUINTANA  GERALDO  MARISEL| 533|  0.26
SANYOUR  MAYORGA  ANDRES ALBERTO| 529|  0.25
BRETON  PORTAL  MARIA VERONICA| 528|  0.25
RAMIREZ  OSSA  MARIA JOSE| 527|  0.25
OLIVARES  ZAMORA  ALEJANDRA ESTER| 521|  0.25
CARO  GALLARDO  PAOLA| 521|  0.25
HUME  TURRES  ANDRES FELIPE| 519|  0.25
VIVANCO  FUENTEALBA  JAIRO ELIAS| 518|  0.25
JARA  SEPULVEDA  RICARDO| 511|  0.25
GALLEGUILLOS  VALENZUELA  CLARA ELIZABETH| 508|  0.24
SOTO  ALEGRIA  ESTER ELISA| 497|  0.24
BAVESTRELLO  MARTINEZ  MARGARITA| 474|  0.23
NOGALES  ROSALES  JACQUELINE| 460|  0.22
SEGOVIA  RIVERA  MIGUEL ARTUR| 448|  0.22
GONZALEZ  GARCIA  KAREN JUDITH| 419|  0.2
TOBAR  TOLEDO  LUIS| 409|  0.2
HUANCHICAY  CELEDON  MARCELO ISRAEL| 407|  0.2
LEPE  AEDO  KAREN DEL CARMEN| 401|  0.19
JARA  RODRIGUEZ  RAUL HERNAN| 400|  0.19
MAMANI  GARCIA  DEMETRIA| 392|  0.19
ELGUETA  MORALES  CARLOS| 389|  0.19
SAAVEDRA  CONTRERAS  ISIDORO| 386|  0.19
MENDOZA  ARACENA  RODRIGO ANDRES| 381|  0.18
ROQUE  CACERES  FRANCISCO ATANACIO| 363|  0.17
FERNANDEZ  ARAVENA  BERTH ISABEL| 344|  0.17
NUÑEZ  NAVARRETE  CECILIA| 339|  0.16
ALVAREZ  GONZALEZ  MARY TRINY| 329|  0.16
SANZ  CARVAJAL  RICARDO ANTONIO| 323|  0.16
CORAIL  URQUETA  ANA PATRICIA| 320|  0.15
FIGUEROA  SEPULVEDA  SERGIO ANDRES| 311|  0.15
MOYA  RIVERA  CARLOS ANDRES| 294|  0.14
LAFUENTE  BERRIOS  REINALDO| 293|  0.14
CERDA  ARAYA  ESTEBAN| 288|  0.14
SEGOVIA  RIVERA  JUAN PABLO SEBASTIAN| 280|  0.13
AROS  PENSA  EZIO RICARDO IGNACIO| 275|  0.13
HERNANDEZ  CLARCK  MARCO| 265|  0.13
VALLES  CORDOVA  RICARDO PABLO| 256|  0.12
AYAVIRI  MOSCOSO  CONSTANZA MAGDALENA| 244|  0.12
