Candidatos|Votos|Porcentaje
SALAZAR  RETAMALES  EDUARDO| 1,354|  0.21
VARGAS  YAÑEZ  CRISTIAN MAURICIO| 1,344|  0.2
MOLL  ROSAS  DIEGO LEONARDO| 1,331|  0.2
ARIAS  TORRES  NICOLAS ANDRES| 1,262|  0.19
BRAVO  RUIZ  MARIA PIA| 1,232|  0.19
SANHUEZA  ALVARADO  LUIS| 1,190|  0.18
VIDAL  ALVARADO  CARLOS| 1,182|  0.18
CARDENAS  VEGA  JUANA| 1,168|  0.18
HENRIQUEZ  FERNANDEZ  ANGELICA MARIA| 1,129|  0.17
PEÑA  PEÑA  GABRIEL ALFONSO| 1,111|  0.17
FERNANDEZ  FERNANDEZ  OSCAR DAMIAN| 1,108|  0.17
HERRERA  OYARZO  YANINA ANDREA| 1,044|  0.16
LARRERE  CASTRO  PEDRO HERNAN EUGENIO| 1,001|  0.15
GOMEZ  ARANEDA  JORGE ALBERTO| 999|  0.15
GONZALEZ  RODRIGUEZ  MARIO ENRIQUE| 996|  0.15
SIDES  ROJAS  PABLO| 991|  0.15
ESPINOZA  PERALTA  RICHARD ISAAK| 966|  0.15
GUICHATUREO  ALMONACID  ANA| 963|  0.15
BARRIA  VIVAR  FABIAN ALEJANDRO| 891|  0.14
DIAZ  ALMONACID  FRANCISCO| 859|  0.13
MARTINEZ  PARDO  CATALDO DEL TRANSITO| 847|  0.13
CASTRO  VILLARROEL  CELSO| 846|  0.13
ZAMBRANO  URIBE  SERGIO| 818|  0.12
ALMONACID  MOLINA  ELMO| 767|  0.12
SAN MARTIN  ESPINOZA  MARIO| 642|  0.1
ROSALES  CARRILLO  FELICIANO| 619|  0.09
SILVA  AGUILA  PEDRO GUILLERMO| 617|  0.09
LEHMAN  CORTEZ  ELCIRA ANGELICA| 598|  0.09
CASANUEVA  BASCUÑAN  EDUARDO ANDRES| 562|  0.09
SIERRA  GONZALEZ  NICOLAS IGNACIO| 378|  0.06
ARRIAGADA  ANTILLANCA  LUIS ARNOLDO| 321|  0.05
CRUZ  ZAMORA  EMILIO FABIAN| 320|  0.05
Válidamente Emitidos| 464,909| 70.82
 Votos Nulos| 94,763| 14.44
 Votos Blanco| 96,796| 14.74
 Total| 656,468| 100.0
 
