Candidatos|Votos|Porcentaje
ROJAS  RAMIREZ  HECTOR ROMUALDO| 1,054|  0.26
ORTIZ  MANRIQUEZ  FRANCO IGNACIO| 997|  0.25
GONZALEZ  OLAVE  ABRAHAM MANUEL| 977|  0.25
CARO  CARO  OSVALDO ANTONIO| 949|  0.24
VILLA  ROA  CRISTIAN ORLANDO| 863|  0.22
MELLADO  MUÑOZ  STALIN ALEJANDRO| 853|  0.21
VARGAS  SANDOVAL  FERNANDO| 834|  0.21
SAAVEDRA  YAÑEZ  MANUEL ARTURO| 805|  0.2
RETAMAL-COFRE  COFRE  CARLA| 802|  0.2
LAGOS  OJEDA  VERONICA CARMEN| 788|  0.2
FLORES  LAGOS  PEDRO ANTONIO| 709|  0.18
SAAVEDRA  SAAVEDRA  CAROL DAYANA| 688|  0.17
CORREA  PEREZ  FERNANDO| 674|  0.17
CAMAÑO  BARRIA  REINALDO ARTURO| 606|  0.15
UBILLA  GONZALEZ  HECTOR ARTURO| 603|  0.15
PEREZ  GARRIDO  MARIA JOSE| 580|  0.15
ARAYA  BAHAMONDE  FANNY ESTHER| 577|  0.14
BARRIA  HASEN  IVAN| 574|  0.14
VIDAL  MAUREIRA  LUCAS ANDRES| 570|  0.14
KELLER  FREEMAN  DAVID| 513|  0.13
SEGUEL  ARRIAGADA  LUIS| 469|  0.12
QUEZADA  ACUÑA  MARIO RODOLFO| 442|  0.11
JARA  JARA  RICARDO JAVIER| 427|  0.11
ARRIAGADA  MORAGA  GABRIEL| 401|  0.1
SAAVEDRA  GATICA  JOSE LUIS| 378|  0.09
ASTUDILLO  MUÑOZ  CHRISTIAN ALBERTO| 336|  0.08
ROMERO  MUNIZAGA  DASNA DEL PILAR| 299|  0.08
PINTO  QUEZADA  MANUEL DANILO| 286|  0.07
GALVEZ  MUÑOZ  MARCELO| 283|  0.07
QUEZADA  BELLO  CRISTOPHER ARTURO| 279|  0.07
AGUILERA  CERNA  MARIA DE LAS MERCEDES| 232|  0.06
MUÑOZ  TRONCOSO  RODRIGO ALFREDO| 219|  0.05
LEFNO  CARRILLO  CHERYL| 195|  0.05
Válidamente Emitidos| 298,316| 74.89
 Votos Nulos| 50,280| 12.62
 Votos Blanco| 49,763| 12.49
 Total| 398,359| 100.0
 
