Candidatos|Votos|Porcentaje
MELINAO  CANALES  VICTOR PATRICIO| 1,976|  0.26
VELASQUEZ  CATALAN  EDON| 1,952|  0.26
FIGUEROA  SILVA  JULIO| 1,934|  0.25
ARCOS  SOTO  ANDRES| 1,850|  0.24
RAMIREZ  MOLINA  JORGE ENRIQUE| 1,822|  0.24
ROMAN  MANDUJANO  IVAN RODRIGO| 1,803|  0.24
MARTINEZ  ANTIVIL  AGUSTIN MAXIMILIANO| 1,778|  0.23
FUENTES  GALAZ  GISSELA| 1,750|  0.23
GARCES  GARCES  CRISTIAN| 1,746|  0.23
CASTRO  GONZALEZ  YURISAN| 1,740|  0.23
BENAVENTE  CASTILLO  YOSELYN| 1,717|  0.23
DUCOMMUN  JIMENEZ  PATRICIO ANDRES| 1,716|  0.22
CAMPOS  AGUILERA  CRISTOBAL| 1,694|  0.22
BURGOS  NECULMAN  ALVARO JOSE| 1,692|  0.22
ANCATEN  PALOMINOS  RAYEN CAMILA| 1,649|  0.22
ITURRA  NEIRA  DIEGO IGNACIO| 1,631|  0.21
ESPINOZA  GAVILAN  SERGIO ENRIQUE| 1,609|  0.21
CARRERA  VALENZUELA  CARLOS HUMBERTO| 1,580|  0.21
ALVAREZ  SEPULVEDA  GEMITA DEL PILAR| 1,559|  0.2
ALVARADO  JULIAN  CARLOS EDUARDO| 1,502|  0.2
ESPINOZA  NUALART  JORGE| 1,492|  0.2
CRUZ  RUIZ  EDWIN| 1,491|  0.2
VALDES  ZUÑIGA  MIRIAM PAOLA| 1,484|  0.19
GOMEZ  MORAGA  ALEJANDRO ANDRES| 1,453|  0.19
DIAZ  FIGUEROA  SUSANA AIDA| 1,406|  0.18
PEDREROS  VENEGAS  MARISEL| 1,403|  0.18
VERGARA  TAPIA  JUAN EDUARDO| 1,393|  0.18
GARCES  VIVANCO  PAOLA| 1,388|  0.18
ESCARATE  PETERS  RAUL| 1,387|  0.18
QUIÑINAO  COLICOY  MARIANELA| 1,381|  0.18
ARIAS  RIOS  LORENA ANDREA| 1,366|  0.18
GARDULSKI  PINTO  ALEJANDRA| 1,356|  0.18
RIFFO  GALLEGOS  PABLO ANDRES| 1,355|  0.18
FUENTEALBA  HUENCHUMAN  KATHERINE MARION| 1,353|  0.18
CASTILLO  SANDOVAL  LUIS EMILIO| 1,318|  0.17
COLIPE  CASTILLO  PEDRO PABLO| 1,312|  0.17
MONSO  GUERRATY  ALEJANDRA| 1,289|  0.17
PICHUNMAN  GONZALEZ  SILVANA VALERIA| 1,256|  0.16
HUENTENAO  SILVA  FABIAN ULISES| 1,194|  0.16
VERDUGO  MUÑOZ  IGNACIO YERSON| 1,182|  0.15
CORNEJO  GONZALEZ  PATRICIO ARIEL| 1,177|  0.15
OJEDA  CONTRERAS  LUIS ALBERTO| 1,149|  0.15
RIVERA  LOPEZ  MANUEL ALEJANDRO| 1,141|  0.15
BELTRAN  ULLOA  ALEJANDRO| 1,133|  0.15
PROUST  SAAVEDRA  NELSON JUAN PABLO| 1,133|  0.15
SUAZO  PALMA  JULIO CESAR| 1,108|  0.15
JARAMILLO  MORA  MARIANELA DEL PILAR| 1,107|  0.15
