Candidatos|Votos|Porcentaje
LEY  NEIRA  CHIHON| 11,929|  0.24
SOTO  MESSINA  CRISTINA ALEJANDRA| 11,875|  0.24
RODRIGUEZ  PARADA  FABIOLA| 11,853|  0.24
BARRERA  MIRANDA  GERARDO| 11,838|  0.23
VASQUEZ  SILVA  JUAN FRANCISCO| 11,773|  0.23
RODRIGUEZ  BERRIOS  BENEDICTO HUGO| 11,601|  0.23
FARIAS  AILIO  EVELYN CAROLINA| 11,476|  0.23
GALLEGOS  RAMIREZ  AMELIA DEL CARMEN| 11,366|  0.23
TILLERIA  VILAZA  FELIPE| 11,319|  0.22
CARCAMO  MANDIOLA  MARCO ANTONIO| 11,246|  0.22
ROSEN  FUENTEALBA  MAURICIO| 11,163|  0.22
CORTES  PAMPARANA  DIEGO IGNACIO| 11,158|  0.22
CABEZAS  CONTRERAS  CAROLINA| 11,148|  0.22
VILLANUEVA  JORQUERA  MARIO| 11,144|  0.22
GONZALEZ  CERON  RODRIGO| 11,115|  0.22
ALIAGA  RAMIREZ  VERONICA| 11,083|  0.22
WARD  CORREA  JUAN ENRIQUE| 11,057|  0.22
JARA  QUIROZ  ALEJANDRA PAMELA| 11,027|  0.22
MUÑOZ  REYES  JORGE CRISTIAN| 11,020|  0.22
HORMAZABAL  VALLECILLO  JORGE SEBASTIAN| 10,953|  0.22
GONZALEZ  ALARCON  JUAN MANUEL| 10,938|  0.22
CELIS  AHUMADA  CECILIA XIMENA| 10,809|  0.21
MALDONADO  MORALES  NATALY FRANCESCA| 10,806|  0.21
COLLAO  MARTINEZ  JOVANKA| 10,805|  0.21
UGARTE  VALERIO  CECILIA| 10,791|  0.21
HERREROS  BEJARES  PEDRO PABLO| 10,791|  0.21
FERRADA  PACHECO  JOCELYN CAROLINA| 10,729|  0.21
TAPIA  FUENTES  RICHARD FERNANDO| 10,662|  0.21
MUÑOZ  CONA  RENE ANDRES| 10,568|  0.21
ACUÑA  FUENTES  EDUARDO ALEJANDRO| 10,531|  0.21
ZUÑIGA  AMPUERO  SEBASTIAN| 10,348|  0.21
LARRONDO  ORREGO  ENRIQUE| 10,222|  0.2
SOTO  LAMA  KEIN| 9,964|  0.2
LABBE  AUSSET  RODRIGO| 9,954|  0.2
TAPIA  BASTIAS  LUIS| 9,950|  0.2
ESPINOZA  ARIAS  MARCELO MAURICIO| 9,823|  0.19
LAVIN  DIVAS  ROMINA ANDREA| 9,821|  0.19
MORAN  AVENDAÑO  MAURICIO GUILLERMO| 9,778|  0.19
PORTUGUEZ  FUENTES  RODRIGO| 9,737|  0.19
MONTALVA  MONTALVA  PEDRO| 9,725|  0.19
URETA  JARA  DARIO ALBERTO| 9,720|  0.19
ANTILEO  ESPINA  CAMILO| 9,692|  0.19
CERDA  GARCIA  BORIS GABRIEL| 9,684|  0.19
SAAVEDRA  ALARCON  CRISTOBAL| 9,674|  0.19
MATUS  GARRIDO  JOSE ALEJANDRO| 9,672|  0.19
NORAMBUENA  CORALES  MARIO ENRIQUE| 9,614|  0.19
OLAVARRIA  TAPIA  PILAR| 9,570|  0.19
CALFULLAN  CAMPOS  CELSO NASARIO| 9,570|  0.19
MC KENZIE  MARTINEZ  ALLAN| 9,567|  0.19
SCHNEIDER  BORNEMANN  JOAQUIN| 9,507|  0.19
RAMIREZ  SANCHEZ  FELIPE ANTONIO| 9,484|  0.19
OLEA  RODRIGUEZ  MARIA ESTER| 9,289|  0.18
JOFRE  AHUMADA  EMA ROSA| 9,232|  0.18
DUHARTE  SOLIS  JAVIER ANDRES| 9,174|  0.18
GALDAMES  HOROSTICA  JORGE| 9,148|  0.18
ORDENES  JOFRE  IVANNA VALENTINA| 9,029|  0.18
CHAVEZ  RIVERA  ESTEBAN MAURICIO| 8,829|  0.18
VERGARA  PEREZ  DIEGO ANDRES| 8,794|  0.17
PASTENES  JAQUE  MIGUEL| 8,660|  0.17
MORENO  MIRANDA  FELIPE IGNACIO| 8,655|  0.17
GOMEZ  CONTRERAS  DAVID OCTAVIO| 8,648|  0.17
VALLEJOS  CALDERON  RODRIGO| 8,621|  0.17
LEYTON  ORTIZ  JORGE| 8,531|  0.17
PALMA  SAEZ  CRISTOBAL LEONARDO| 8,527|  0.17
BAHAMONDES  DIAZ  IGNACIO ALEJANDRO| 8,427|  0.17
MESIAS  SANDOVAL  ELIAS| 8,354|  0.17
ALVAREZ  ENRIQUEZ  JUAN PABLO| 8,354|  0.17
ESCALA  CARRASCO  MACARENA| 8,332|  0.17
SCHWERTER  CABEZAS  SOFIA| 8,306|  0.16
VIDAL  MENDEZ  CATALINA| 8,265|  0.16
HERRERA  BALBOA  ARIEL ROMINA| 8,232|  0.16
MENDEZ  VELIZ  ALVARO ESTEBAN| 8,186|  0.16
GATICA  GALDAMEZ  CARLA ANDREA| 8,144|  0.16
CAYUQUEO  HERRERA  MARIA MAGDALENA| 8,124|  0.16
PEREZ  CISTERNAS  HERNAN| 8,124|  0.16
ATENAS  SOZA  CLAUDIA ANDREA| 8,112|  0.16
FERNANDEZ  LEON  ERNESTO ANDRES| 7,967|  0.16
MANSILLA  SILVA  JOSE VICTORIANO| 7,890|  0.16
FORTEZA  SCHNEIDER  MATIAS| 7,825|  0.16
BARAHONA  MALDONADO  CLAUDIO| 7,712|  0.15
ZAPATA  CANCINO  MARCELO ANTONIO| 7,703|  0.15
TARSETTI  GUAJARDO  ROSSANA DEL PILAR| 7,701|  0.15
CASTILLO  FLORES  CARLA| 7,635|  0.15
SUAREZ  GONZALEZ  CRISTOPHER ALEXEIS| 7,618|  0.15
MALLEA  ARAUS  RAMON ANDRES| 7,612|  0.15
HUENANTE  VEGA  LUIS EMILIO| 7,558|  0.15
GONZALEZ  NUÑEZ  JONATHAN NICOLAS| 7,113|  0.14
TOCORNAL  COURT  MARIA JOSEFINA| 7,082|  0.14
AHUMADA  GUERRERO  JAVIER ANDRES| 7,060|  0.14
ORTEGA  RIOS  WALTER ALEJANDRO| 7,021|  0.14
ACEVEDO  CORNEJO  CLAUDIA| 6,992|  0.14
PEREZ  CONTRERAS  KATHERINE ANDREA| 6,956|  0.14
RAMIREZ  LOPEZ  RENE IVAN| 6,920|  0.14
JORQUERA  LEYTON  BERNARDO IGNACIO| 6,850|  0.14
GARRIDO  NUÑEZ  ALEXIS CRISTOPHER| 6,824|  0.14
SOTO  ACUÑA  VERONICA INES| 6,807|  0.13
NEIRA  QUIROGA  MARIO PABLO| 6,794|  0.13
FUENZALIDA  VIVANCO  PABLO ANDRES| 6,777|  0.13
ORTIZ  SEGUEL  RAMON| 6,692|  0.13
BRICEÑO  OLGUIN  ELIAS GUSTAVO| 6,630|  0.13
GRANDON  CARO  GIOVANNA JAZMIN| 6,622|  0.13
ASTUDILLO  LOPEZ  CARLOS FELIPE| 6,610|  0.13
SALCEDO  URIBE  PRISCILA VANESSA| 6,586|  0.13
DIAZ  CARRION  CRISTOFER| 6,584|  0.13
MORAGA  DONOSO  VICENTE| 6,544|  0.13
FUENTEALBA  BELTRAN  GABRIEL ALEJANDRO| 6,474|  0.13
PACHECO  VILLAGRA  GONZALO ANTONIO| 6,380|  0.13
OLAVARRIA  ARAYA  BRAULIO| 6,263|  0.12
NILO  MUÑOZ  CAMILA| 6,257|  0.12
FUENTES  CADIZ  ANA MARIA| 6,246|  0.12
HURTADO  ARAYA  CHRISTIAN OSVALDO| 6,163|  0.12
MATAMALA  VARGAS  JOSE LUIS| 6,155|  0.12
CANALES  MUÑOZ  FERNANDO IGNACIO| 6,153|  0.12
QUEZADA  LIZAMA  JIMENA DEL CARMEN| 6,148|  0.12
KRAMER  ANGEL  HELMUT DIETRICH EBERHARD| 6,082|  0.12
MUÑOZ  QUINTEROS  LUIS HERNAN| 6,010|  0.12
SANCHEZ  GONZALEZ  SEBASTIAN IGNACIO| 5,977|  0.12
MEZA  ROMAN  ROLANDO ARNOLDO| 5,920|  0.12
REUS  CORDERO  BARTOLOME| 5,892|  0.12
RIVERA  RIVERA  YURI ESTEBAN| 5,874|  0.12
NUÑEZ  COMTE  CRISTIAN ANDRES| 5,860|  0.12
BUSTAMANTE  GARCIA  JOSE| 5,847|  0.12
JOHANSEN  ROMERO  NAOMI MONSERRAT| 5,814|  0.12
ORTEGA  REYES  ALEX| 5,694|  0.11
ESCANILLA  VILLARROEL  JOHANNA VICTORIA| 5,692|  0.11
QUEZADA  GOMEZ  DAVID GABRIEL| 5,683|  0.11
SEREY  PROVOSTE  LUIS| 5,617|  0.11
UGARTE  CANCINO  JULIA DEL CARMEN| 5,607|  0.11
ZAMUDIO  ROMAN  VALERIA NICOLE| 5,576|  0.11
ZAVALA  CARTAGENA  LEIDY| 5,537|  0.11
RAMIREZ  GARRIDO  JACQUELINE MARIA| 5,482|  0.11
DINAMARCA  SOTO  PATRICIA| 5,477|  0.11
LANTADILLA  BUDINICH  MARIA ALEJANDRA| 5,440|  0.11
DIAZ DE VALDES  BALBONTIN  MARCELA| 5,426|  0.11
GAJARDO  CALDERON  IVAN EDUARDO| 5,356|  0.11
SUAREZ  SUAREZ  JORGE ALBERTO| 5,304|  0.11
BUSTOS  ALVEAL  MELANIE| 5,298|  0.11
LIQUITAY  ROJAS  ROSARIO| 5,255|  0.1
GARRIDO  GONZALEZ  SEBASTIAN| 5,252|  0.1
CAMPOLO  FERNANDEZ  MARCELA DEL PILAR| 5,152|  0.1
PINO  MORALES  JOSE ARMANDO| 5,129|  0.1
MORALES  ARIAS  ARIEL ALEJANDRO| 5,062|  0.1
MENDOZA  TAPIA  ANGELO ENRIQUE| 5,039|  0.1
BALBOA  VALENZUELA  GERARDO ALEJANDRO| 4,985|  0.1
IBACACHE  TOLEDO  PATRICIO| 4,912|  0.1
VILCHES  ORELLANA  ISRAEL| 4,847|  0.1
ELZO  OVIEDO  RAMON| 4,809|  0.1
TAPIA  PARRA  MELISSA BELEN| 4,806|  0.1
DUBO  SOZA  ITALO GEOVANI| 4,773|  0.09
SILVA  VARGAS  FRANCISCA| 4,757|  0.09
VIVALLO  CUEVAS  CYNTHIA ANA| 4,742|  0.09
JARA  LOPEZ  LEYLA MASSIEL| 4,730|  0.09
CARRASCO  MEZA  ROSSANA DEL CARMEN| 4,719|  0.09
AGUILAR  GONZALEZ  ESTEBAN JESUS| 4,698|  0.09
GONZALEZ  CARBONELL  PABLO| 4,674|  0.09
ESPINOZA  VIDAL  CARLOS HERNAN| 4,663|  0.09
GUTIERREZ  CASTRO  FRANCISCA ALEJANDRA| 4,653|  0.09
ORTIZ  VIDAL  MONICA| 4,628|  0.09
NASTASI  ALMENDARES  GIOVANNA| 4,582|  0.09
PARDO  MOLINA  CLAUDIO| 4,534|  0.09
ACUÑA  CAAMAÑO  CARLOS GABRIEL| 4,456|  0.09
CABEZA  CERDA  WALTER| 4,406|  0.09
FEMENIAS  SALAS  CRISTINA FIORELA| 4,380|  0.09
CALDERON  MUÑOZ  CRISTIAN MARCELO| 4,317|  0.09
CLARK  PINTO  YASNA KATHERINE| 4,287|  0.09
PLACENCIO  COFRE  FREDDY ALEJANDRO| 4,277|  0.08
GONZALEZ  ARENAS  JAVIERA ANDREA| 4,240|  0.08
PINTO  QUENPIL  JAIME MARCELO| 4,152|  0.08
OYARZO  HIDALGO  OSCAR| 4,150|  0.08
GONZALEZ  MIRANDA  WALTER GUILLERMO| 4,131|  0.08
ARAYA  OLIVIER  RICARDO ESTEBAN| 4,006|  0.08
GOMEZ  URRUTIA  RAUL FELIPE| 3,983|  0.08
ARELLANO  BRAVO  MARIA ELENA| 3,926|  0.08
VERA  RUBIO  GLORIA JEANNETTE| 3,916|  0.08
ESPINOZA  CONTRERAS  FELIPE YERKO| 3,890|  0.08
MUÑOZ  VILCHES  JORGE ABRAHAM| 3,868|  0.08
PAILACURA  ARAYA  ERNESTO HERNAN| 3,841|  0.08
MANRIQUEZ  DIAZ  JAVIER ESTEBAN| 3,836|  0.08
CARRASCO  GALLARDO  ROXANA| 3,818|  0.08
FAUNDEZ  CORNEJO  DANERITT| 3,802|  0.08
FERNANDEZ  RAMOS  RICARDO SEBASTIAN| 3,713|  0.07
SALDIVAR  GOMEZ  SAMANTHA SILVANA| 3,694|  0.07
ZUÑIGA  SALGADO  RICARDO ANDRES| 3,678|  0.07
ROJAS  LEON  RAUL ANTONIO| 3,648|  0.07
DIAZ  PALOMINOS  LUIS| 3,599|  0.07
MEZA  GUERRERO  BRAULIO| 3,594|  0.07
