Candidatos|Votos|Porcentaje
PARRAGUEZ  ORTIZ  ADAN ANDRES| 1,989|  0.27
ESCOBAR  GONZALEZ  SIMON ANTONIO| 1,985|  0.27
CANCINO  MENESES  ADRIANA JANET MERCEDES| 1,972|  0.27
GUZMAN  ARCE  DOMINICA LEONOR| 1,972|  0.27
CAMILLA  FERNANDEZ  CARLOS| 1,938|  0.26
CUEVAS  VELOZO  SERGIO ENRIQUE| 1,925|  0.26
DIAZ  BARRIOS  GONZALO HERNAN| 1,895|  0.25
GREZ  CAÑETE  DIEGO ALBERTO| 1,873|  0.25
GUTIERREZ  PEREZ  FELIPE ALEJANDRO| 1,832|  0.25
CARVALLO  CASTRO  JOSE| 1,813|  0.24
CASTILLO  OSORIO  IVO LUCIANO| 1,785|  0.24
MEDINA  GONZALEZ  CRISTOBAL| 1,778|  0.24
GUTIERREZ  SEPULVEDA  JULIO| 1,774|  0.24
CASTILLO  ARCE  ROBERTA| 1,727|  0.23
PAVEZ  TAPIA  LINDSEY| 1,693|  0.23
MUTIS  ROBLEDO  EDUARDO| 1,678|  0.23
MORELLI  PASTENE  DANIEL ANTONIO| 1,669|  0.22
OLGUIN  MAZUA  JORGE EUGENIO| 1,612|  0.22
COFRE  PEREZ  MANUEL ROBERTO| 1,590|  0.21
CURIFUTA  SILVA  ABRAHAM| 1,559|  0.21
PALAMARA  POZO  JORGE| 1,545|  0.21
LIZANA  ARANCIBIA  JORGE| 1,522|  0.2
HERNANDEZ  NAGUIL  JAVIER IVAN| 1,514|  0.2
ALISTE  SOLIS  FELIPE| 1,466|  0.2
LISBOA  VALLE  ROBERTO JULIO| 1,460|  0.2
IBARRA  VILLAR  MANUEL| 1,430|  0.19
SCHONFFELDT  GUERRERO  KURT| 1,416|  0.19
URZUA  GALVEZ  LESLIE FERNANDA| 1,381|  0.19
ORTEGA  PONCE  KEVIN| 1,351|  0.18
ORTIZ  VIDAL  ANDRES JESUS| 1,307|  0.18
VARGAS  PINO  ROBERTO| 1,274|  0.17
GOMEZ  GOMEZ  DANIEL ANTONIO| 1,246|  0.17
FUENTES  NAVARRO  DANIELA ALEJANDRA| 1,243|  0.17
PEÑAILILLO  VALENZUELA  RODRIGO| 1,146|  0.15
GAETE  VALLEJOS  MARIA ALEXANDRA| 1,136|  0.15
