region,circunscripcion_provincial,nombre,partido,votos
REGIÓN DE ARICA Y PARINACOTA,ARICA,CARLOS JORGE OJEDA MURILLO,PH,1302
REGIÓN DE ARICA Y PARINACOTA,ARICA,MARIA JOSE VICTORIANO CAUTIVO,PCCH,1575
REGIÓN DE ARICA Y PARINACOTA,ARICA,CRISTIAN GODOFREDO VILLANUEVA ROSALES,IND,2116
REGIÓN DE ARICA Y PARINACOTA,ARICA,SOFIA CLAVIJO MEDALLA,RN,2047
REGIÓN DE ARICA Y PARINACOTA,ARICA,OSCAR PANTOJA RIVERA,PL,1880
REGIÓN DE ARICA Y PARINACOTA,ARICA,DENISSE ANDREA MORALES FLORES,IND,2294
REGIÓN DE ARICA Y PARINACOTA,ARICA,MARCELO EMMANUEL GONZALEZ OLIVARES,PDC,1931
REGIÓN DE ARICA Y PARINACOTA,ARICA,NINO SEGUNDO ESTAY ESPINOZA,DEMOCRATAS,964
REGIÓN DE ARICA Y PARINACOTA,ARICA,IGNACIO ALFREDO GOMEZ GUTIERREZ,REPUBLICANO,4242
REGIÓN DE ARICA Y PARINACOTA,ARICA,ROMINA CECILIA CIFUENTES GONZALEZ,REPUBLICANO,4472
REGIÓN DE ARICA Y PARINACOTA,ARICA,LIN-KIU ODILA LY FUMEY,REPUBLICANO,2594
REGIÓN DE ARICA Y PARINACOTA,PARINACOTA,LORENA VENTURA VASQUEZ,RN,458
REGIÓN DE ARICA Y PARINACOTA,PARINACOTA,DANIEL ALEXIS LINARES ZEGARRA,IND,418
REGIÓN DE ARICA Y PARINACOTA,PARINACOTA,HERMES GOMEZ GALLARDO,IND,408
REGIÓN DE TARAPACÁ,IQUIQUE,OCTAVIO LOPEZ AVALOS,AH,2160
REGIÓN DE TARAPACÁ,IQUIQUE,GIOVANNA TRINCADO AVILES,RN,4707
REGIÓN DE TARAPACÁ,IQUIQUE,NESTOR JOFRE NUÑEZ,RN,3984
REGIÓN DE TARAPACÁ,IQUIQUE,SERGIO ASSERELLA ALVARADO,PR,1514
REGIÓN DE TARAPACÁ,IQUIQUE,LAUTARO ENRIQUE LOBOS LARA,IND,1969
REGIÓN DE TARAPACÁ,IQUIQUE,LUIS DOMINGO MILLA RAMIREZ,PDG,3876
REGIÓN DE TARAPACÁ,IQUIQUE,ANALLY PATRICIA FERREIRA HERRERA,PDC,3096
REGIÓN DE TARAPACÁ,IQUIQUE,FRANCISCO LINCHEO TORREJON,IND,1502
REGIÓN DE TARAPACÁ,IQUIQUE,MAURICIO SCHMIDT SILVA,UDI,1407
REGIÓN DE TARAPACÁ,IQUIQUE,LORENA ANDREA RAMIREZ PALMA,REPUBLICANO,6284
REGIÓN DE TARAPACÁ,IQUIQUE,JORGE MARIANO MUÑOZ GONZALEZ,REPUBLICANO,3601
REGIÓN DE TARAPACÁ,TAMARUGAL,EDUARDO MAMANI MAMANI,RN,2090
REGIÓN DE TARAPACÁ,TAMARUGAL,HUGO NICOLAS ESTICA ESTEBAN,IND,2791
REGIÓN DE TARAPACÁ,TAMARUGAL,LUCERO ISABEL CALLPA FLORES,IND,1782
REGIÓN DE ANTOFAGASTA,ANTOFAGASTA,VICTOR EDUARDO GUZMAN ROJAS,PCCH,9295
REGIÓN DE ANTOFAGASTA,ANTOFAGASTA,DUZANKA FLORES ROJAS,PSC,3155
REGIÓN DE ANTOFAGASTA,ANTOFAGASTA,ANDREA MERINO DIAZ,PS,6460
REGIÓN DE ANTOFAGASTA,ANTOFAGASTA,PAULA CELIS SIERRALTA,PDG,6827
REGIÓN DE ANTOFAGASTA,ANTOFAGASTA,PAULA VALERIA ORELLANA URIBE,FA,3882
REGIÓN DE ANTOFAGASTA,ANTOFAGASTA,GONZALO SANTOLAYA GOICOVIC,UDI,6702
REGIÓN DE ANTOFAGASTA,ANTOFAGASTA,YASNA CELIA MENESES GONZALEZ,REPUBLICANO,11425
REGIÓN DE ANTOFAGASTA,ANTOFAGASTA,ALEJANDRO RODRIGO CIFUENTES MANCILLA,REPUBLICANO,6051
REGIÓN DE ANTOFAGASTA,EL LOA,DINKA SOLANGE LOPEZ DURAN,FREVS,5717
REGIÓN DE ANTOFAGASTA,EL LOA,LUIS PAYERO CRUZ,PS,2465
REGIÓN DE ANTOFAGASTA,EL LOA,JORGE EDUARDO BERNA MENDOZA,PDG,2802
REGIÓN DE ANTOFAGASTA,EL LOA,SANDRA BERNA MARTINEZ,PDC,8208
REGIÓN DE ANTOFAGASTA,EL LOA,EMILIO NIKITAS MAVRAKIS ASSAD,REPUBLICANO,10400
REGIÓN DE ANTOFAGASTA,TOCOPILLA,HUMBERTO PABLO FUENTES LAGOS,IND,2084
REGIÓN DE ANTOFAGASTA,TOCOPILLA,GUSTAVO HECTOR CARRASCO ORTIZ,IND,1586
REGIÓN DE ANTOFAGASTA,TOCOPILLA,PATRICIO TAPIA JULIO,IND,2416
REGIÓN DE ATACAMA,CHAÑARAL,MANUEL HUGO REYES CUELLO,PCCH,1690
REGIÓN DE ATACAMA,CHAÑARAL,FREDDY RUBINA ARACENA,IND,1880
REGIÓN DE ATACAMA,COPIAPO,FELIPE ALBERTO FUENTES ZUMARAN,IND,2182
REGIÓN DE ATACAMA,COPIAPO,FERNANDO GHIGLINO PIZARRO,RN,2581
REGIÓN DE ATACAMA,COPIAPO,EMILIO CRISTIAN BIANCHI CAÑAS,IND,4998
REGIÓN DE ATACAMA,COPIAPO,PATRICIO SERGIO ALFARO MORALES,FREVS,4462
REGIÓN DE ATACAMA,COPIAPO,FRANCISCO CORTEZ PALLAUTA,FREVS,6615
REGIÓN DE ATACAMA,COPIAPO,HUGO ALEJANDRO BUGUEÑO ROJAS,IND,3046
REGIÓN DE ATACAMA,COPIAPO,YERKO NAJIB RAVLIC ELAL,FA,2070
REGIÓN DE ATACAMA,COPIAPO,MIGUEL ANGEL SAN MARTIN SALGADO,REPUBLICANO,3357
REGIÓN DE ATACAMA,HUASCO,JORGE NELSON TORRES TORRES,IND,3104
REGIÓN DE ATACAMA,HUASCO,FABIOLA DEL CARMEN PEREZ TAPIA,FREVS,4943
REGIÓN DE ATACAMA,HUASCO,JUAN HORACIO SANTANA ALVAREZ,PS,9077
REGIÓN DE ATACAMA,HUASCO,IGOR VERDUGO HERRERA,PS,2334
