Candidatos|Votos|Porcentaje
CURIHUINCA  CURIMIL  MARIA ELENA| 1,065|  0.27
ESCRICH  CARVAJAL  ERIK ELIOT| 1,061|  0.26
YAÑEZ  ESCOBAR  MARIA ANGELICA| 1,044|  0.26
AMADO  ZULOAGA  FAROUK OMAR| 1,020|  0.25
NUÑEZ  CARTAGENA  LUIS ALBERTO| 1,014|  0.25
ZEPEDA  ZEPEDA  MAURICIO HERNAN| 999|  0.25
PINOCHET  ROCO  JOSE MIGUEL| 991|  0.25
TRUJILLO  MONTAÑO  SANTIAGO EDUARDO| 914|  0.23
HERRERA  DEBIA  DIEGO FERNANDO| 885|  0.22
TALA  PINTO  MARCO SAID| 858|  0.21
LARROZA  HERNANDEZ  EDWARD| 846|  0.21
CARVAJAL  SALAS  SERGIO FERNANDO| 832|  0.21
DEL BARRIO  CORTEZ  MARIA ESTHER| 791|  0.2
ROJAS  MAMANI  DANAHE FRANCIA ANDREA| 764|  0.19
LEYTON  ROMO  MANUEL ANGEL| 759|  0.19
VILLANSEN  MONCADA  CECILIA ANDREA| 747|  0.19
VELIZ  BRIONES  MARIO FRANCISCO| 741|  0.18
YUFLA  CRUZ  MIRIAN NOLBERTA| 727|  0.18
MEZA  ESPINOZA  NEIL O BRYAMS| 714|  0.18
VELASQUEZ  RAMOS  NELSON EDUARDO| 711|  0.18
ORELLANA  DINAMARCA  MARITZA| 705|  0.18
VILLEGAS  DIAZ  PAULO JAVIER| 693|  0.17
ZAMBRA  GONZALEZ  JORGE MANUEL| 671|  0.17
RIVAS  FLORES  JOSE EUSEBIO| 663|  0.17
CORDOVA  MIRANDA  JUAN ANTONIO| 643|  0.16
ORQUERA  PORTILLA  DENNYSE ALEJANDRA| 620|  0.15
PEREZ  GARCIA  ESTEBAN PATRICIO| 600|  0.15
WEISHAUPT  ORTEGA  ALEXANDER| 580|  0.14
OLIVARES  ZULETA  DOMINGO ANTONIO| 576|  0.14
ACOSTA  YAÑEZ  RONY| 562|  0.14
RAMOS  MOYA  JOHN FRED| 549|  0.14
LARREA  ARAYA  LUIS| 545|  0.14
ESCUDERO  PASTEN  JAVIER IGNACIO| 542|  0.13
NADAL  CERDA  JOSE MIGUEL| 528|  0.13
HERRERA  LEDESMA  PEDRO ALBERTO| 520|  0.13
VARELA  SALAS  NAYARETH ORNELLA| 516|  0.13
SOTGIU  QUIJADA  OSVALDO FRANCISCO| 491|  0.12
VIÑALES  VIÑALES  FREDDY NICOLAS| 478|  0.12
LATORRE  CRUZ  NATALIA LUZ| 403|  0.1
OJEDA  FUENTEALBA  ASTOLFO LUIS| 360|  0.09
MARAÑON  PASTEN  CECILIA ANDREA| 352|  0.09
ALVAREZ  ORTEGA  DIELA MARIA| 350|  0.09
ROMERO  HERRERA  JORGE ALEJANDRO| 345|  0.09
NAVARRO  TAPIA  CELSIO ANTONIO| 326|  0.08
QUIROZ  LOBOS  OMAR ANTONIO| 312|  0.08
CACERES  BROCKWAY  JUAN| 299|  0.07
ARAYA  NEIRA  MANUEL ISMAEL| 294|  0.07
ARRIAZA  GAJARDO  JUAN ENRIQUE| 240|  0.06
Válidamente Emitidos| 284,040| 70.71
 Votos Nulos| 70,925| 17.66
 Votos Blanco| 46,706| 11.63
 Total| 401,671| 100.0
 
